,word,sentiment_score,sentiment_label,sadness,joy,fear,disgust,anger
0,"Okay, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,so  they're  three  months  behind  on  their  payments. ,0,neutral,0.222663,0.07334,0.044155,0.093912,0.216232
2,"I  know  honey, ",0.552672,positive,0.104276,0.612951,0.024632,0.045249,0.026799
3,but  what  happened? ,-0.619347,negative,0.0,0.0,0.0,0.0,0.0
4,We  caught  a  job. ,0,neutral,0.216976,0.246638,0.238622,0.139779,0.083462
5,He  can't  pay  you. ,-0.65591,negative,0.148831,0.179551,0.091248,0.074744,0.088473
6,"He  can't  pay  us  and  if  he  antagonize  him, ",-0.678416,negative,0.148831,0.179551,0.091248,0.074744,0.088473
7,he's  not  going  to  get  a  job. ,-0.832798,negative,0.180792,0.166279,0.113792,0.062765,0.127154
8,"So  why  not  work  on  the  basis  that  we'll  try  and  get  him  a  Ho  try  and  help  him  go  out  in  the  labor  market  and  uh, ",-0.826491,negative,0.680181,0.041625,0.263094,0.01024,0.095691
9,see  if  he  could  get  a  job  by  my  helping  him. ,0.808313,positive,0.178453,0.206183,0.078732,0.022771,0.050211
10,"I  make  uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,"all  the  resume  and  maybe  a  letter, ",0,neutral,0.074729,0.019891,0.270644,0.051505,0.034559
12,I  don't  know. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,He  tried  that  before. ,0,neutral,0.0,0.0,0.0,0.0,0.0
14,I  was  trying  to  get  a  contract  to  dispel. ,0,neutral,0.312432,0.013219,0.186844,0.116309,0.240057
15,Is  that  some  kind  of  way  he  tried  to  help  him? ,0,neutral,0.211582,0.230799,0.091958,0.033823,0.110818
16,She  didn't  want  to ,0,neutral,0.148831,0.174518,0.130851,0.074744,0.088473
17,"know, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,"but  I  think  it's  different  than  saying  yes, ",0.654563,positive,0.377585,0.148834,0.101531,0.075778,0.113283
19,but  he  didn't ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,know. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,But  that's  a  different  kind  of  help. ,0.824741,positive,0.15709,0.308673,0.0459,0.012898,0.055069
22,But  <inaudible>  he  already  had  the  contract. ,-0.898998,negative,0.232896,0.024762,0.033787,0.128116,0.079405
23,It's  just  a  matter  of  of  procedures  as  to  how  he  should  do  that. ,0.469443,positive,0.084205,0.271031,0.050449,0.109576,0.156236
24,"But  this  way, ",0.623905,positive,0.0,0.0,0.0,0.0,0.0
25,"don't  you  think  that, ",0,neutral,0.151545,0.174219,0.093654,0.072945,0.08686
26,"well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,I  think  if  he  had  let  you  help  and  you  would  have  been  able  to  plan  it  better  so  that  you  want  to  lose  the  contact  because  he  knows  the  contract  because ,0.240079,positive,0.350264,0.048869,0.044802,0.030091,0.100875
28,the  people  that  are  supposed  to  be  disposing  the  material  then  come  through. ,-0.770462,negative,0.464654,0.151426,0.152198,0.279443,0.191992
29,Yeah. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,"But  if  he  had  let  you  help  him, ",0,neutral,0.092544,0.246037,0.043244,0.024676,0.050839
31,I've  seen  that  these  people  were  not  reliable  or  something. ,-0.851887,negative,0.217924,0.284215,0.113499,0.327864,0.115693
32,You  could  have  helped  in  that  way  maybe. ,0.841642,positive,0.23941,0.121238,0.121166,0.010163,0.028569
33,Yeah. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,"But  where  else  can  you  go  to  get  one, ",0,neutral,0.473137,0.108973,0.442769,0.069287,0.037788
35,get  what ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,"to  get  the, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,"the  uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,people  to  dispose  the  military? ,0,neutral,0.3107,0.083356,0.208868,0.392113,0.119815
39,I  don't  know. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,You  could  do  some  research  to  find  out  where  you  can  get  people  to  do  policing. ,0,neutral,0.21781,0.284355,0.264614,0.085266,0.16388
41,I  don't  know. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,"but, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,"if  you  do  some  research, ",0,neutral,0.0,0.0,0.0,0.0,0.0
44,I'm  sure  you  can  find  a  way. ,0.630194,positive,0.117971,0.439829,0.106245,0.045286,0.113294
45,"Um, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,"what  I'm  trying  to  do  is  to  help  him  see  that  the, ",0,neutral,0.205245,0.193355,0.082444,0.027677,0.036533
47,"uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
